timestamp,value
31-Aug-16 1:00:00 PM CDT,512849984.00 BTU
31-Aug-16 1:15:04 PM CDT,512849984.00 BTU
31-Aug-16 1:30:04 PM CDT,512849984.00 BTU
31-Aug-16 1:45:04 PM CDT,512849984.00 BTU
31-Aug-16 2:00:04 PM CDT,512889984.00 BTU
31-Aug-16 2:15:04 PM CDT,512889984.00 BTU
31-Aug-16 2:30:04 PM CDT,512889984.00 BTU
31-Aug-16 2:45:04 PM CDT,512900000.00 BTU
31-Aug-16 3:00:04 PM CDT,512960000.00 BTU
31-Aug-16 3:15:04 PM CDT,512990016.00 BTU
31-Aug-16 3:30:04 PM CDT,513020000.00 BTU
31-Aug-16 3:45:04 PM CDT,513020000.00 BTU
31-Aug-16 4:00:04 PM CDT,513020000.00 BTU
31-Aug-16 4:15:04 PM CDT,513020000.00 BTU
31-Aug-16 4:30:04 PM CDT,513030016.00 BTU
31-Aug-16 4:45:04 PM CDT,513049984.00 BTU
31-Aug-16 5:00:04 PM CDT,513060000.00 BTU
31-Aug-16 5:15:04 PM CDT,513070016.00 BTU
31-Aug-16 5:30:03 PM CDT,513070016.00 BTU
31-Aug-16 5:45:04 PM CDT,513070016.00 BTU
31-Aug-16 6:00:03 PM CDT,513070016.00 BTU
31-Aug-16 6:15:03 PM CDT,513070016.00 BTU
31-Aug-16 6:30:03 PM CDT,513070016.00 BTU
31-Aug-16 6:45:04 PM CDT,513070016.00 BTU
31-Aug-16 7:00:03 PM CDT,513070016.00 BTU
31-Aug-16 7:15:03 PM CDT,513070016.00 BTU
31-Aug-16 7:30:04 PM CDT,513070016.00 BTU
31-Aug-16 7:45:04 PM CDT,513070016.00 BTU
31-Aug-16 8:00:04 PM CDT,513070016.00 BTU
31-Aug-16 8:15:04 PM CDT,513070016.00 BTU
31-Aug-16 8:30:04 PM CDT,513070016.00 BTU
31-Aug-16 8:45:03 PM CDT,513070016.00 BTU
31-Aug-16 9:00:04 PM CDT,513070016.00 BTU
31-Aug-16 9:15:03 PM CDT,513070016.00 BTU
31-Aug-16 9:30:03 PM CDT,513070016.00 BTU
31-Aug-16 9:45:03 PM CDT,513070016.00 BTU
31-Aug-16 10:00:04 PM CDT,513070016.00 BTU
31-Aug-16 10:15:03 PM CDT,513070016.00 BTU
31-Aug-16 10:30:03 PM CDT,513070016.00 BTU
31-Aug-16 10:45:03 PM CDT,513070016.00 BTU
31-Aug-16 11:00:04 PM CDT,513070016.00 BTU
31-Aug-16 11:15:03 PM CDT,513070016.00 BTU
31-Aug-16 11:30:04 PM CDT,513070016.00 BTU
31-Aug-16 11:45:04 PM CDT,513070016.00 BTU
01-Sep-16 12:00:04 AM CDT,513070016.00 BTU
01-Sep-16 12:15:03 AM CDT,513070016.00 BTU
01-Sep-16 12:30:04 AM CDT,513070016.00 BTU
01-Sep-16 12:45:04 AM CDT,513070016.00 BTU
01-Sep-16 1:00:04 AM CDT,513070016.00 BTU
01-Sep-16 1:15:03 AM CDT,513070016.00 BTU
01-Sep-16 1:30:03 AM CDT,513070016.00 BTU
01-Sep-16 1:45:03 AM CDT,513070016.00 BTU
01-Sep-16 2:00:04 AM CDT,513070016.00 BTU
01-Sep-16 2:15:03 AM CDT,513070016.00 BTU
01-Sep-16 2:30:04 AM CDT,513070016.00 BTU
01-Sep-16 2:45:04 AM CDT,513070016.00 BTU
01-Sep-16 3:00:04 AM CDT,513070016.00 BTU
01-Sep-16 3:15:04 AM CDT,513070016.00 BTU
01-Sep-16 3:30:04 AM CDT,513070016.00 BTU
01-Sep-16 3:45:03 AM CDT,513070016.00 BTU
01-Sep-16 4:00:04 AM CDT,513070016.00 BTU
01-Sep-16 4:15:04 AM CDT,513070016.00 BTU
01-Sep-16 4:30:03 AM CDT,513070016.00 BTU
01-Sep-16 4:45:03 AM CDT,513070016.00 BTU
01-Sep-16 5:00:03 AM CDT,513070016.00 BTU
